Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Jogging duration (ms)
12/13/2024,23,1776.8303515414582,1040.7517335283828,4,4,,,,0.38154227617690534,1.4547673711212874,0.2723671067822726,1725,,,,,,1298988,,
12/14/2024,74,6260.70332040762,3600.189910888672,47,47,,,,0.7646337411036345,1.4102467116699,0.03700897608047877,4946,,,,,,20100000,,1500000
12/15/2024,1,7752,1815.918170103093,,,,,,0.02101757141323024,0.02101757141323024,0.02101757141323024,2491,,,,,,86400000,,
12/16/2024,,7752,1815.918170103093,,,,,,0.28623688351445503,0.31426973340441045,0.2584457590503842,2491,,,,,,86400000,,
12/17/2024,16,2843.6940158544544,907.5361670357283,1,1,,,,0.4118898977686084,1.4002724041866146,0.2723671067822726,1505,,,,,,16493732,,
12/18/2024,9,1713.2858238116496,584.8479073058318,2,2,,,,0.3434425680519976,1.3825508832219136,0.26189144882910825,1035,,,,,,393957,,
12/19/2024,17,1714.7987699523796,748.8588486155855,1,1,,,,0.3393668803442018,1.3875056913520187,0.25808864216795335,1360,,,,,,415506,,
12/20/2024,12,1705.5546256287194,454.0374914004245,,,,,,0.3535055628591531,1.179265473292297,0.2723671067822726,780,,,,,,283846,,
12/21/2024,44,1814.612485169151,1864.8784584841794,3,3,,,,0.5089236014342176,1.4451490649559469,0.2723671067822726,3386,,,,,,1837097,,
12/22/2024,69,1855.4565640231895,3145.525196300515,7,7,,,,0.42066305502830315,1.3722839655702306,0.26189144882910825,5265,,,,,,2418817,,
12/23/2024,38,1781.6797701756977,1898.4942144466456,3,3,,,,0.4781931620575512,1.3274587983963488,0.24942138498202124,3448,,,,,,1368055,,
12/24/2024,9,1695.2449718146108,531.1670320248371,,,,,,0.3779093267838918,0.9262475396314496,0.2514157908759439,1271,,,,,,137012,,
12/25/2024,40,1749.2461144696792,1654.1887587276833,2,2,,,,0.44697810525842296,1.3014169069252808,0.2718618814746045,3063,,,,,,906119,,
12/26/2024,34,1769.4445511535896,1413.7186413979805,,,,,,0.38716394685911387,1.2910421315225145,0.25344198649061167,2756,,,,,,1193796,,
12/27/2024,6,1702.3700837282533,249.96681659086235,,,,,,0.3450545469409061,0.6773033058453304,0.2723671067822726,806,,,,,,238491,,
12/28/2024,79,1885.1992016521056,3966.54026083519,27,27,,,,0.5336149525028061,1.5036981676664605,0.24692901325910813,5942,,,,,,2651655,85004,
12/29/2024,25,1734.3506076495778,877.7806676222777,1,1,,,,0.6743887215285256,1.3846403314510314,0.26189144882910825,1435,,,,,,693972,,
12/30/2024,,1685.6249929666521,,,,,,,,,,66,,,,,,,,
12/31/2024,,1685.624992966652,,,,,,,,,,111,,,,,,,,
1/1/2025,,1685.624992966652,,,,,,,,,,15,,,,,,,,
1/2/2025,27,1788.310171801805,1357.0600371528863,10,10,,,,0.8475438006994311,1.3896764203564977,0.2723671067822726,2180,,,,,,1462488,,
1/3/2025,,1685.624992966652,7.542473726278318,,,,,,,,,145,,,,,,,,
1/4/2025,60,1908.6290894854255,3554.988150465746,35,35,,,,0.8293696917854623,1.4185395581598879,0.26189144882910825,5294,,,,,,3176123,,
1/5/2025,,1685.624992966652,70.3964214452643,,,,,,0.5041421607599118,0.7949995970032354,0.3142697416308942,447,,,,,,,,
1/6/2025,53,1859.4319142462268,3191.071825232164,30,30,,,,0.754633448180535,1.4728716286800478,0.2444368836221264,4834,,,,,,2475436,,
1/7/2025,10,1748.9297394931207,489.4990929590775,2,2,,,,0.7397450954769267,1.4016159008658957,0.31426971848166796,943,,,,,,901615,,
1/8/2025,21,1788.1804784232672,465.6555484581703,16,16,,,,0.4095824482568823,1.3595367540302619,0.26189144882910825,789,,,,904426,,495386,,
1/9/2025,22,1754.827164196819,1017.1952484686446,2,2,,,,0.6109935344237879,1.5113530315484969,0.26189144882910825,1721,,,,,,985608,,
1/10/2025,24,1785.5049787378348,1348.8110472023313,10,10,,,,0.6104995643355485,1.4168195011720763,0.24462182039323643,2072,,,,,,1422535,,
1/11/2025,,1685.624992966652,35.19821072263215,,,,,,0.28284275467880593,0.31426971848166796,0.2514157908759439,226,,,,,,,,
1/12/2025,,1685.624992966652,,,,,,,,,,69,,,,,,,,
1/13/2025,23,1711.0522564812672,958.547937301201,1,1,,,,0.7665647298723455,1.6471009802167529,0.29331842268860125,1507,,,,,,362146,,
1/14/2025,9,1719.9876229673093,502.75300535122267,1,1,,,,0.4401661586294434,1.3973087292581587,0.2723671067822726,952,,,,,,489408,,
1/15/2025,6,1685.624992966652,186.04768524819852,,,,,,0.5303323631160436,0.7582339072655621,0.30379408064176555,444,,,,,,,,
1/16/2025,,1685.6249929666517,,,,,,,,,,158,,,,,,,,
1/17/2025,11,1717.4380043533624,519.3439101673881,3,3,,,,0.5247928325498954,1.3624235275909131,0.30533678534566966,866,,,,,,453095,,
1/18/2025,89,1993.8835153299099,4456.541418092667,28,28,,,,0.6530399941444037,1.40159574994439,0.25141183785219384,7113,,,,,,4390354,,
1/19/2025,57,1917.5618305912499,3920.055108734874,45,45,,,,0.6700879859938136,1.3691542140232378,0.31426972268114,5800,,,,,,3303348,,
1/20/2025,,1685.624992966652,13.827868498176915,,,,,,0.4924408576979366,0.4924408576979366,0.4924408576979366,233,,,,,,,,
1/21/2025,,1685.624992966652,30.798434382303128,,,,,,0.2566536198525261,0.26189144882910825,0.2514157908759439,149,,,,,,,,
1/22/2025,,1685.6249929666517,32.05551333668285,,,,,,0.2671292778056904,0.2723671067822726,0.26189144882910825,138,,,,,,,,
1/23/2025,,1685.6249929666517,34.569671245442294,,,,,,0.2880805883484824,0.31426972786785656,0.26189144882910825,194,,,,,,,,
1/24/2025,1,1685.6249929666517,25.141579087594394,,,,,,0.314269706413712,0.314269706413712,0.314269706413712,219,,,,,,,,
1/25/2025,119,2156.111933679996,7224.468494790458,63,63,,,,0.5609625902882657,1.4624874387480913,0.28284276473543696,10730,,,,,,6519010,81040,
1/26/2025,,1685.624992966652,34.569671245442294,,,,,,0.2880805937120191,0.29331842268860125,0.28284276473543696,157,,,,,,,,
1/27/2025,,1685.624992966652,19.484723792885653,,,,,,0.31426973340441045,0.31426973340441045,0.31426973340441045,160,,,,,,,,
1/28/2025,5,1706.7128078088094,166.36480032699734,,,,,,0.34717987520324944,0.4872396876178601,0.28284276473543696,472,,,,,,300342,,
1/29/2025,2,1685.624992966652,104.52573520002898,,,,,,0.28477340829850895,0.3142697462571256,0.2514157908759439,404,,,,,,,,
1/30/2025,,1685.624992966652,23.25596065602481,,,,,,0.31426970815323707,0.31426970815323707,0.31426970815323707,177,,,,,,,,
1/31/2025,23,1737.2975888946164,1236.4739018051268,6,6,,,,0.39325638012652975,1.5194850704902916,0.2554336581593302,2431,,,,,,735944,,
2/1/2025,13,1725.907829393564,660.2772947791932,4,4,,,,0.45731127102142866,1.3597609057135538,0.26189144882910825,1193,,,,,,573726,,
2/2/2025,,1685.624992966652,,,,,,,,,,113,,,,,,,,
2/3/2025,,1685.624992966652,56.10286515746511,,,,,,0.2777949123885528,0.31426973340441045,0.26189144882910825,359,,,,,,,,
2/4/2025,,1685.6249929666521,,,,,,,,,,114,,,,,,,,
